dataid,local_15min,air1,clotheswasher_dryg1,dishwasher1,disposal1,furnace1,grid,kitchenapp1,kitchenapp2,microwave1,refrigerator1,solar
9836,913.75,0,0.004,0,0,0.007,0.555,0,0.007,0.005,0.104,0
9836,914,0,0.004,0,0,0.007,0.481,0,0.007,0.005,0.036,0
9836,914.25,0,0.004,0,0,0.007,0.506,0,0.007,0.005,0.041,0
9836,914.5,0,0.004,0,0,0.007,0.538,0,0.007,0.005,0.103,0
9836,914.75,0,0.004,0,0,0.007,0.449,0,0.007,0.005,0.016,0
9836,915,0,0.004,0,0,0.007,0.478,0,0.007,0.005,0.053,0
9836,915.25,0,0.004,0,0,0.007,0.556,0,0.007,0.005,0.104,0
9836,915.5,0,0.004,0,0,0.007,0.48,0,0.007,0.005,0.107,0
9836,915.75,0,0.004,0,0,0.007,0.551,0,0.007,0.005,0.053,0.001
9836,916,0,0.004,0,0,0.007,0.533,0,0.007,0.005,0.013,0.001
9836,916.25,0,0.004,0,0,0.007,0.512,0,0.007,0.005,0.1,0
9836,916.5,0,0.004,0,0,0.007,0.307,0,0.007,0.005,0.037,0
9836,916.75,0,0.004,0,0,0.007,0.309,0,0.007,0.005,0.026,0
9836,917,0,0.004,0,0,0.007,0.395,0,0.007,0.005,0.103,0
9836,917.25,0,0.004,0,0,0.007,0.341,0,0.007,0.005,0.025,0
9836,917.5,0,0.004,0,0,0.007,0.331,0,0.007,0.005,0.047,0
9836,917.75,0,0.004,0,0,0.007,0.386,0,0.007,0.005,0.097,0
9836,918,0,0.004,0,0,0.007,0.309,0,0.007,0.005,0.012,0
9836,918.25,0,0.004,0,0,0.007,0.331,0,0.007,0.005,0.076,0
9836,918.5,0,0.004,0,0,0.007,0.388,0,0.007,0.005,0.095,0
9836,918.75,0,0.004,0,0,0.007,0.354,0,0.007,0.005,0.09,0
9836,919,0,0.004,0,0,0.007,0.297,0,0.007,0.005,0.018,0
9836,919.25,0,0.004,0,0,0.007,0.273,0,0.007,0.005,0.009,0
9836,919.5,0,0.004,0,0,0.007,0.353,0,0.007,0.005,0.059,0
9836,919.75,0,0.004,0,0,0.007,0.347,0,0.007,0.005,0.093,0
9836,920,0,0.004,0,0,0.007,0.355,0,0.007,0.005,0.094,0
9836,920.25,0,0.004,0,0,0.007,0.255,0,0.007,0.005,0.082,-0.001
9836,920.5,0,0.004,0,0,0.007,0.175,0,0.007,0.005,0.009,0.018
9836,920.75,0,0.004,0,0,0.007,0.142,0,0.007,0.005,0.009,0.041
9836,921,0,0.004,0,0,0.007,0.207,0,0.007,0.005,0.065,0.056
9836,921.25,0,0.004,0,0,0.007,0.184,0,0.007,0.005,0.094,0.07
9836,921.5,0,0.004,0,0,0.007,0.191,0,0.007,0.005,0.092,0.097
9836,921.75,0,0.004,0,0,0.007,0.059,0,0.007,0.005,0.029,0.142
9836,922,0,0.004,0,0,0.007,-0.05,0,0.007,0.005,0.009,0.246
9836,922.25,0,0.004,0,0,0.007,-0.195,0,0.007,0.005,0.026,0.392
9836,922.5,0,0.004,0,0,0.007,-0.15,0,0.007,0.005,0.093,0.46
9836,922.75,0.022,0.004,0,0,0.09,-0.098,0,0.007,0.005,0.095,0.531
9836,923,0,0.004,0,0,0.007,-0.34,0,0.007,0.005,0.094,0.6
9836,923.25,0,0.004,0,0,0.007,-0.371,0,0.007,0.005,0.09,0.663
9836,923.5,0,0.004,0,0,0.007,-0.48,0,0.007,0.005,0.063,0.718
9836,923.75,0,0.004,0,0,0.007,-0.497,0,0.007,0.005,0.1,0.77
9836,924,0,0.004,0.004,0,0.007,-0.296,0,0.006,0.005,0.304,0.83
9836,924.25,0,0.004,0.004,0,0.007,-0.346,0,0.006,0.006,0.343,0.896
9836,924.5,0,0.004,0,0,0.007,-0.697,0,0.007,0.005,0.071,0.991
9836,924.75,0,0.004,0,0,0.007,-0.68,0,0.007,0.006,0.125,1.046
9836,925,0,0.004,0,0,0.007,-0.746,0,0.007,0.005,0.117,1.088
9836,925.25,0,0.004,0,0,0.007,-0.668,0,0.007,0.005,0.062,1.143
9836,925.5,0,0.004,0.002,0,0.007,-0.574,0,0.007,0.005,0.072,1.19
9836,925.75,0,0.004,0,0,0.007,-0.798,0,0.007,0.005,0.109,1.222
9836,926,0,0.004,0,0,0.007,-0.88,0,0.007,0.006,0.084,1.241
